menu,amount,kcal
ข้าวซอยหมู,1 ชาม,395
ข้าวต้ม (ข้าวกล้อง),1 ถ้วย,120
ข้าวต้ม (ข้าวขาว),1 ถ้วย,120
ข้าวต้มทรงเครื่อง,1 ถ้วย,230
ข้าวต้มปลา,1 ถ้วย,325
ข้าวปุ้น(ส้มตำ-ขนมจีน),1 จาน,180
ข้าวผัดกระเพราหมูกรอบ,1 จาน,650
ข้าวผัดกะเพรากุ้ง,1 จาน,540
ข้าวผัดกะเพราไก่,1 จาน,554
ข้าวผัดกะเพราไก่ไข่ดาว,1 จาน,630
ข้าวผัดกะเพราหมู,1 จาน,580
ข้าวผัดกุ้งใส่ไข่,1 จาน,595
ข้าวผัดกุนเชียง,1 จาน,590
ข้าวผัดแกงเขียวหวานไก่,1 จาน,630
ข้าวผัดคะน้าหมูกรอบ,1 จาน,670
ข้าวผัดต้มยำทะเลแห้ง,1 จาน,400
ข้าวผัดน้ำพริกกุ้งสด,1 จาน,460
ข้าวผัดน้ำพริกเผาหมู,1 จาน,665
ข้าวผัดน้ำพริกลงเรือ,1 จาน,605
ข้าวผัดปลาเค็ม,1 จาน,405
ข้าวผัดปลาหมึกน้ำพริกเผา,1 จาน,535
ข้าวผัดปูใส่ไข่,1 จาน,610
ข้าวผัดผักกระเฉดหมูกรอบ,1 จาน,600
ข้าวผัดมันกุ้งใส่ไข่,1 จาน,575
ข้าวผัดรวมมิตร (น้ำมันน้อย),1 จาน,210
ข้าวผัดสับปะรด,1 จาน,335
ข้าวผัดไส้กรอก,1 จาน,520
ข้าวผัดหนำเลียบหมูใส่ไข่,1 จาน,370
ข้าวผัดหมูน้ำพริกเผา,1 จาน,665
ข้าวผัดหมูใส่ไข่,1 จาน,557
ข้าวผัดแหนม,1 จาน,610
ข้าวผัดอเมริกัน,1 จาน,790
ข้าวพะแนงเนื้อ,1 จาน,457
ข้าวมันไก่,1 จาน,596
ข้าวมันไก่ทอด,1 จาน,695
ข้าวยำปักษ์ใต้,1 จาน,248
ข้าวราดแกงเขียวหวานไก่,1 จาน,483
ข้าวราดผัดผักบุ้ง,1 จาน,410
ข้าวราดผัดผักใส่หมู,1 จาน,370
ข้าวราดหน้าไก่,1 จาน,400
ข้าวสตูว์ไก่,1 จาน,465
ข้าวสวย,1 ทัพพี,68
ข้าวสวย (ข้าวกล้อง),1 ทัพพี,80
ข้าวสวย (ข้าวขาว),1 ทัพพี,80
ข้าวหน้ากุ้งผัดพริดสด,1 จาน,540
ข้าวหน้าเป็ด,1 จาน,495
ข้าวหมกไก่,1 จาน,534
ข้าวหมูแดง,1 จาน,541
ข้าวหมูทอด,1 จาน,416
ข้าวหมูทอดกระเทียม,1 จาน,525
ข้าวหมูอบ,1 จาน,389
ข้าวเหนียวกะทิทุเรียน,1 ถ้วย,225
ข้าวเหนียวดำ,1 ถ้วยเล็ก,205
ข้าวเหนียวตัด,1 ชิ้น,210
ข้าวเหนียวนึ่ง,1 ทัพพี,160
ข้าวเหนียวหมูทอด,1 ชุด,440
ข้าวเหนียวหมูสวรรค์,1 ชุด,480
ไข่เค็ม,1 ฟอง,75
ไข่เจียว,1 ฟอง,215
ไข่ดาว,1 ฟอง,215
ไข่ดาวทรงเครื่อง,1 ฟอง,250
ไข่ต้ม,1 ฟอง,73
ไข่ตุ๋น,1 ฟอง,75
ไข่ตุ๋นทรงเครื่อง,1 ฟอง,159
ไข่นกกระทา,1 จานเล็ก,191
ไข่พะโล้,1 ถ้วย,180
ไข่ยัดไส้,1 จาน,310
ไข่ลวก,1 ฟอง,75
ไข่ลูกเขย,1 ฟอง,205
ครีมซุปไก่,1 ถ้วย,160
คอหมูย่าง,1 จาน,200
คะน้าหมูกรอบ,1 จาน,420
เครื่องในไก่ผัดขิง,1 จาน,200
แคบหมู มีมัน,1 ชิ้นเล็ก,13
แคบหมู ไร้มัน,1 ชิ้นเล็ก,10
โครงไก่ทอด,1 ตัว,656
แจ่วบอง,1 ถ้วย,25
โจ๊กใส่ไข่,1 ถ้วย,250
โจ๊กหมู,1 ถ้วย,160
โจ๊กหมูตับ ใส่ไข่ลวก,1 ถ้วย,230
ซุปข้าวโพด,1 ถ้วย,140
ซุปผัก (ใส),1 ถ้วย,15
ซุปหน่อไม้,1 จาน,40
ต้มกะทิสายบัวปลาทูนึ่ง,1 ถ้วย,225
ต้มข่าไก่,1 ถ้วย,210
ต้มโคล้งไก่ย่าง,1 ถ้วย,115
ต้มโคล้งปลากรอบ,1 ถ้วย,60
ต้มจับฉ่าย,1 ถ้วย,15
ต้มจืดเลือดหมู,1 ถ้วย,120
ต้มตือฮวน,1 ถ้วย,160
ต้มผักกาดดองซี่โครงหมู,1 ถ้วย,90
ต้มยำกุ้ง,1 ถ้วย,65
ต้มยำไก่,1 ถ้วย,60
ต้มยำไก่ใส่เห็ด,1 ถ้วย,80
ต้มยำปลากระป๋อง,1 ถ้วย,55
ต้มยำปลากระพง,1 ถ้วย,80
ต้มยำปลาทู,1 ถ้วย,10
ต้มยำปลาหมึก,1 ถ้วย,9
ต้มยำเห็ดสด,1 ถ้วย,30
ต้มส้มปลาทู,1 ถ้วย,130
ต้มหัวผักกาดขาวซี่โครงหมู,1 ถ้วย,90
ตับไก่ปิ้ง,1 ไม้,60
ทอดมันกุ้ง,1 จาน,255
ทอดมันปลากลาย,1 ชิ้น,37
เทมปุระ,1 ชิ้น,77
นมถั่วเหลือง (ไม่มีน้ำตาล),1 แก้ว,55
น่องไก่ทอด,1 ชิ้น,345
น่องไก่ย่าง,1 น่อง,97
น้ำพริกกะปิผักสด,1 ช้อนโต๊ะ,28
น้ำพริกกุ้งเผา,1 ถ้วย,90
น้ำพริกปลาป่น,1 ถ้วย,35
น้ำพริกมะขามเปียก,1 ถ้วย,55
น้ำพริกมะขามสด,1 ถ้วย,210
น้ำพริกมะม่วง,1 ถ้วย,100
น้ำพริกลงเรือ,1 ถ้วย,195
น้ำพริกหนุ่ม,1 ช้อนโต๊ะ,18
น้ำพริกอ่อง,1 ช้อนโต๊ะ,80
เนื้อไก่ชุปแป้งทอด,1 ชิ้นเล็ก,71
เนื้อน้ำตก,1 จาน,165
เนื้อผัดหวาน,1 จาน,590
บะหมี่กรอบราดหน้า,1 จาน,515
บะหมี่กรอบราดหน้าไก่หน่อไม้,1 จาน,660
บะหมี่กรอบราดหน้ารวมมิตร,1 จาน,690
บะหมี่กึ่งสำเร็จรูป,1 ก้อน,253
